feature,mean_importance
Organic_carbon,-0.0016650763354738806
Turbidity,-0.0010586753121231585
Turbidity_sum_Trihalomethanes,-0.00032731657338440633
Trihalomethanes,-0.00012944962655001558
ph_diff_Trihalomethanes,6.435858148421403e-05
Conductivity_diff_Trihalomethanes,0.0004506939216141426
Trihalomethanes_multiply_Sulfate,0.0006552018329895049
Turbidity_ratio_Sulfate,0.0010807832464626798
Hardness,0.0013572874873472919
Sulfate_ratio_Turbidity,0.0013605061249582606
Conductivity,0.0014649478005705375
Trihalomethanes_multiply_Chloramines,0.0014720895884870577
Conductivity_multiply_Hardness,0.0020031900777261356
Hardness_diff_Organic_carbon,0.0028936648176528744
Chloramines_sum_Hardness,0.004764540866939271
Solids,0.005974622115047334
Chloramines,0.011378446734086278
ph,0.028716138910196264
Sulfate,0.02910480130986599
