name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_LightGBM,LightGBM,f1,0.7741103661681279,21.99,0.0399
2_Default_Xgboost,Xgboost,f1,0.7791932059447984,13.73,0.0432
3_Default_CatBoost,CatBoost,f1,0.781651376146789,8.73,0.0364
4_Default_RandomForest,Random Forest,f1,0.7737704918032787,15.86,0.1394
5_Default_ExtraTrees,Extra Trees,f1,0.7725933202357563,13.38,0.133
10_LightGBM,LightGBM,f1,0.7734668335419274,12.12,0.0384
6_Xgboost,Xgboost,f1,0.7685232498722534,11.43,0.0401
14_CatBoost,CatBoost,f1,0.7861570247933884,11.07,0.0353
18_RandomForest,Random Forest,f1,0.7742255266418835,15.4,0.134
22_ExtraTrees,Extra Trees,f1,0.7662337662337663,12.97,0.1219
11_LightGBM,LightGBM,f1,0.7654004106776181,11.07,0.0379
7_Xgboost,Xgboost,f1,0.7737909516380655,12.24,0.0396
15_CatBoost,CatBoost,f1,0.7788387096774193,10.32,0.038
19_RandomForest,Random Forest,f1,0.7769709543568465,16.01,0.1216
23_ExtraTrees,Extra Trees,f1,0.7786259541984732,15.0,0.1229
12_LightGBM,LightGBM,f1,0.7711258930771125,12.08,0.0373
8_Xgboost,Xgboost,f1,0.7683079230192452,12.03,0.0404
16_CatBoost,CatBoost,f1,0.783749035741836,9.71,0.0376
20_RandomForest,Random Forest,f1,0.7712646545273135,15.51,0.13
24_ExtraTrees,Extra Trees,f1,0.766121270452358,13.43,0.1287
13_LightGBM,LightGBM,f1,0.7728674203494348,12.83,0.0365
9_Xgboost,Xgboost,f1,0.7663322730609249,12.55,0.0407
17_CatBoost,CatBoost,f1,0.7781534460338101,16.25,0.0431
21_RandomForest,Random Forest,f1,0.7731305449936628,28.64,0.1259
25_ExtraTrees,Extra Trees,f1,0.7697527872031023,15.73,0.1309
14_CatBoost_GoldenFeatures,CatBoost,f1,0.7780308782586687,15.22,0.0914
16_CatBoost_GoldenFeatures,CatBoost,f1,0.7752095504191009,10.98,0.087
3_Default_CatBoost_GoldenFeatures,CatBoost,f1,0.7791022064417956,10.52,0.0871
26_CatBoost,CatBoost,f1,0.785823559408465,16.07,0.0371
27_CatBoost,CatBoost,f1,0.779984524116585,11.77,0.0365
28_CatBoost,CatBoost,f1,0.7840938057608973,11.05,0.0348
29_CatBoost,CatBoost,f1,0.7778355879292403,10.51,0.0362
30_Xgboost,Xgboost,f1,0.7749360613810742,14.22,0.0545
31_Xgboost,Xgboost,f1,0.7737854251012146,13.89,0.0412
32_ExtraTrees,Extra Trees,f1,0.7790410281759763,17.41,0.1334
33_RandomForest,Random Forest,f1,0.7777207392197125,23.14,0.1583
34_RandomForest,Random Forest,f1,0.7725024727992087,17.32,0.1383
35_LightGBM,LightGBM,f1,0.769616445224367,14.45,0.0382
36_Xgboost,Xgboost,f1,0.7734778121775026,14.4,0.0488
37_Xgboost,Xgboost,f1,0.7748309932397296,14.18,0.0404
38_LightGBM,LightGBM,f1,0.7722572509457756,13.89,0.0371
39_ExtraTrees,Extra Trees,f1,0.7737512242899118,16.02,0.1342
40_Xgboost,Xgboost,f1,0.7738998482549317,15.15,0.0417
Ensemble,Ensemble,f1,0.7885010266940452,9.6,0.4477
